objectid,filename,title,creator,date,description,subject,location,camera type,identifier,type,format,filesize,rights,rightsstatement
lr001,20240311-105234.jpg,Central City Masonic Cemetery,"Reed, Lexi",2024-11-03,"Digital photograph taken on March 11, 2024, at 11:52 am of the Masonic Cemetery in Central City, Colorado.","cemeteries-photography;Colorado-Central City;Masonic Cemetery(Central City, Colo.)","Central City, Colorado","Samsung, S22 Ultra",20240311-105234,Image;StillImage,image/jpeg,3.32MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr002,20240312_102925.jpg,Palisade Rim Trail 1,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 11:29 AM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-102925,Image;StillImage,image/jpeg,4.02 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr003,20240312_103617.jpg,Palisade Rim Trail 2,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 11:36 AM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-103617,Image;StillImage,image/jpeg,2.13 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr004,20240312_105707.jpg,Palisade Rim Trail 3,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 11:57 AM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-105707,Image;StillImage,image/jpeg,19.73 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr005,20240312_110044.jpg,Palisade Rim Trail 4,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 12:00 PM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-110044,Image;StillImage,image/jpeg,4.16 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr006,20240312_110056.jpg,Palisade Rim Trail 5,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 12:00 PM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-110056,Image;StillImage,image/jpeg,3.29 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr007,20240312_115427.jpg,Palisade Rim Trail 6,"Reed, Lexi",2024-12-03,"Digital photograph taken on March 12, 2024 at 12:54 PM of the view from the Palisade Rim Trail. ",Colorado--Palisade;Colorado--Mesa County;Colorado--Mesa County--photograph,"Palisade, Colorado","Samsung, S22 Ultra",20240312-115427,Image;StillImage,image/jpeg,3.64 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr008,20240315_131136.jpg,Monument Canyon Trail 1,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:11 PM of the rocks on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-131136,Image;StillImage,image/jpeg,4.69 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr009,20240315_132011.jpg,Monument Canyon Trail 2,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:20 PM of the view from the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-132011,Image;StillImage,image/jpeg,4.09 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr010,20240315_132016.jpg,Monument Canyon Trail 3,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:20 PM of the view from the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-132016,Image;StillImage,image/jpeg,5.03 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr011,20240315_132123.jpg,Monument Canyon Trail 4,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:21 PM of the scenery on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-132123,Image;StillImage,image/jpeg,2.83 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr012,20240315_134452.jpg,Monument Canyon Trail 5,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:44 PM of the scenery on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-134452,Image;StillImage,image/jpeg,3.32 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr013,20240315_134457.jpg,Monument Canyon Trail 6,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:44 PM of Simon on a large rock structure on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-134457,Image;StillImage,image/jpeg,3.43 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr014,20240315_134849.jpg,Monument Canyon Trail 7,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:48 PM of a bristlecone pine tree on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-134849,Image;StillImage,image/jpeg,4.11 MB,"Copyright 2024, Lexi Reed",All Rights Reserved
lr015,20240315_135753.jpg,Monument Canyon Trail 8,"Reed, Lexi",2024-03-15,"Digital photograph taken on March 15, 2024 at 2:57 PM of the scenery on the Monument Canyon Tail. ",Colorado--Grand Junction;Colorado--Mesa County;Colorado--Mesa County--photograph,"Grand Junction, Colorado","Samsung, S22 Ultra",20240315-135753,Image;StillImage,image/jpeg,3.83 MB,"Copyright 2024, Lexi Reed",All Rights Reserved